Country,Neighbor
Afghanistan,China
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Afghanistan,Iran
Albania,Macedonia
Albania,Kosovo
Albania,Montenegro
Albania,Greece
Algeria,Mauritania
Algeria,Niger
Algeria,Mali
Algeria,Libya
Algeria,Morocco
Algeria,Tunisia
Andorra,Spain
Andorra,France
Angola,Democratic Republic of the Congo
Angola,Congo
Angola,Zambia
Argentina,Brazil
Argentina,Chile
Argentina,Bolivia
Armenia,Georgia
Armenia,Iran
Armenia,Azerbaijan
Armenia,Turkey
Austria,Switzerland
Austria,Slovenia
Austria,Slovakia
Austria,Czech Republic
Austria,Liechtenstein
Austria,Germany
Austria,Italy
Austria,Hungary
Azerbaijan,Iran
Azerbaijan,Georgia
Azerbaijan,Russia
Azerbaijan,Armenia
Azerbaijan,Turkey
Bangladesh,India
Bangladesh,Myanmar
Belarus,Poland
Belarus,Ukraine
Belarus,Russia
Belarus,Latvia
Belgium,Netherlands
Belgium,Germany
Belgium,Luxembourg
Belgium,France
Belize,Mexico
Belize,Guatemala
Benin,Togo
Benin,Nigeria
Benin,Niger
Benin,Burkina Faso
Bhutan,India
Bhutan,China
Bolivia,Paraguay
Bolivia,Chile
Bolivia,Peru
Bolivia,Argentina
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Serbia
Bosnia and Herzegovina,Montenegro
Botswana,Namibia
Botswana,Zimbabwe
Botswana,Zambia
Brazil,Peru
Brazil,Uruguay
Brazil,Venezuela
Brazil,Colombia
Brazil,Guyana
Brazil,France
Brazil,Suriname
Brazil,Argentina
Brunei,Malaysia
Bulgaria,Greece
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Bulgaria,Macedonia
Burkina Faso,Ghana
Burkina Faso,Togo
Burkina Faso,Mali
Burkina Faso,Benin
Burkina Faso,Ivory Coast
Burkina Faso,Niger
Burundi,Rwanda
Burundi,Tanzania
Burundi,Democratic Republic of the Congo
Cambodia,Laos
Cambodia,Vietnam
Cambodia,Thailand
Cameroon,Nigeria
Cameroon,Equatorial Guinea
Cameroon,Congo
Cameroon,Central African Republic
Cameroon,Gabon
Cameroon,Chad
Canada,United States of America
Central African Republic,Democratic Republic of the Congo
Central African Republic,Chad
Central African Republic,Congo
Central African Republic,South Sudan
Central African Republic,Sudan
Central African Republic,Cameroon
Chad,Cameroon
Chad,Sudan
Chad,Central African Republic
Chad,Nigeria
